idx,barometric_altitude,gps_altitude,x_acceleration,y_acceleration,z_acceleration,x_gyro,y_gyro,z_gyro,gps_latitude,gps_longitude
-21.061,0.0,0.0,-0.08349609375,-0.013671875,0.0029296875,-0.091552734375,3.41796875,0.885009765625,0.0,0.0
-21.021,-0.2011907315963839,0.0,-0.08740234375,-0.0126953125,0.0029296875,-1.8310546875,1.251220703125,0.396728515625,0.0,0.0
-20.981,-0.613824841101902,0.0,-0.08349609375,-0.01220703125,0.00390625,-0.640869140625,0.152587890625,0.3662109375,0.0,0.0
-20.941,-0.58508468771754,0.0,-0.08740234375,-0.01220703125,0.00439453125,-0.213623046875,1.0986328125,-0.1220703125,0.0,0.0
-20.901,-0.541974308601965,0.0,-0.08642578125,-0.013671875,0.00439453125,-1.03759765625,2.838134765625,-0.42724609375,0.0,0.0
-20.861,-0.4105891929995522,0.0,-0.08349609375,-0.01513671875,0.0048828125,-1.3427734375,-0.030517578125,-1.251220703125,0.0,0.0
-20.821,-0.4105891929995522,0.0,-0.08349609375,-0.01513671875,0.0048828125,-1.3427734375,-0.030517578125,-1.251220703125,0.0,0.0
-20.781,-0.5070752992831018,0.0,-0.08642578125,-0.01171875,0.00439453125,-0.274658203125,0.701904296875,0.457763671875,0.0,0.0
-20.741,-0.15807875987479747,0.0,-0.08447265625,-0.01220703125,0.0048828125,-1.312255859375,-0.518798828125,-1.220703125,0.0,0.0
-20.701,-0.3243668081282465,0.0,-0.0869140625,-0.0107421875,0.00439453125,-1.007080078125,0.8544921875,0.30517578125,0.0,0.0
-20.661,-0.3880072089656039,0.0,-0.0849609375,-0.01416015625,0.0048828125,0.579833984375,1.46484375,1.068115234375,0.0,0.0
-20.621,-0.23609076818043206,0.0,-0.08544921875,-0.01171875,0.00439453125,0.640869140625,2.288818359375,-0.6103515625,0.0,0.0
-20.581,-0.23609076818043206,0.0,-0.08544921875,-0.01171875,0.00439453125,0.640869140625,2.288818359375,-0.6103515625,0.0,0.0
-20.541,0.26278559748087105,0.0,-0.08544921875,-0.013671875,0.00634765625,-0.42724609375,1.495361328125,1.03759765625,0.0,0.0
-20.501,-0.4906521955218892,0.0,-0.08544921875,-0.01220703125,0.00537109375,-0.732421875,-0.091552734375,-0.640869140625,-0.011111111111111112,-0.09999999999999999
-20.461,-0.4598588060132158,0.0,-0.0849609375,-0.0126953125,0.00537109375,-0.42724609375,1.64794921875,0.946044921875,-0.011111111111111112,-0.09999999999999999
-20.421,0.17039927841152291,0.0,-0.083984375,-0.01318359375,0.005859375,-1.3427734375,-0.3662109375,-0.518798828125,-0.011111111111111112,-0.09999999999999999
-20.381,-0.2586730823381913,0.0,-0.0849609375,-0.01171875,0.0048828125,-0.1220703125,1.953125,-0.244140625,-0.011111111111111112,-0.09999999999999999
-20.341,-0.2586730823381913,0.0,-0.0849609375,-0.01171875,0.0048828125,-0.1220703125,1.953125,-0.244140625,-0.011111111111111112,-0.09999999999999999
-20.301,-0.4434356276279061,0.0,-0.08447265625,-0.0107421875,0.00537109375,0.457763671875,0.335693359375,-0.91552734375,-0.011111111111111112,-0.09999999999999999
-20.261,0.04721879729041234,0.0,-0.0859375,-0.0107421875,0.00341796875,0.0,1.8310546875,0.30517578125,-0.011111111111111112,-0.09999999999999999
-20.221,-0.21350840495244938,0.0,-0.08349609375,-0.01318359375,0.0048828125,-0.885009765625,0.8544921875,-0.152587890625,0.0,-0.13333333333333333
-20.181,-0.42906532524972363,0.0,-0.0859375,-0.01123046875,0.0029296875,-0.9765625,-0.1220703125,-0.8544921875,0.0,-0.13333333333333333
-20.141,-0.3921130278915541,0.0,-0.083984375,-0.01318359375,0.00439453125,1.007080078125,0.396728515625,0.9765625,0.0,-0.13333333333333333
-20.101,-0.3921130278915541,0.0,-0.083984375,-0.01318359375,0.00439453125,1.007080078125,0.396728515625,0.9765625,0.0,-0.13333333333333333
-20.061,-0.2443025244603092,0.0,-0.08642578125,-0.01171875,0.00439453125,-0.42724609375,-1.64794921875,0.48828125,0.0,-0.13333333333333333
-20.021,-0.01642387920323074,0.0,-0.08447265625,-0.013671875,0.005859375,-0.213623046875,2.044677734375,-0.48828125,0.0,-0.13333333333333333
-19.981,-0.3715839170297812,0.0,-0.08544921875,-0.01318359375,0.0048828125,-2.50244140625,0.030517578125,-0.213623046875,0.0,-0.13333333333333333
-19.941,-0.5132339565054593,0.0,-0.08642578125,-0.01416015625,0.00390625,0.42724609375,3.0517578125,-0.579833984375,0.011111111111111112,-0.19999999999999998
-19.901,-0.31820803897957717,0.0,-0.08349609375,-0.013671875,0.005859375,-1.678466796875,-1.190185546875,-1.190185546875,0.011111111111111112,-0.19999999999999998
-19.861,-0.31820803897957717,0.0,-0.08349609375,-0.013671875,0.005859375,-1.678466796875,-1.190185546875,-1.190185546875,0.011111111111111112,-0.19999999999999998
-19.821,-0.0739072519881887,0.0,-0.08740234375,-0.01123046875,0.00439453125,0.396728515625,-0.030517578125,1.3427734375,0.011111111111111112,-0.19999999999999998
-19.781,-0.7267318170499095,0.0,-0.0830078125,-0.01318359375,0.005859375,-0.732421875,2.44140625,0.1220703125,0.011111111111111112,-0.19999999999999998
-19.741,-0.5132339565054593,0.0,-0.08740234375,-0.01123046875,0.005859375,-0.18310546875,0.823974609375,-0.3662109375,0.011111111111111112,-0.19999999999999998
-19.701,-0.5070752992831018,0.0,-0.083984375,-0.01220703125,0.00341796875,0.1220703125,-0.701904296875,-0.091552734375,0.011111111111111112,-0.19999999999999998
