idx,fuel_tank_pressure,ox_tank_pressure,chamber_pressure,ox_servo,fuel_servo
0.0,37.93312,47.44576,0.1776,0.0,1.0940718699931336
0.02,37.93312,47.44576,0.29600000000000004,0.0,0.9750514991989013
0.04,37.93312,47.38704,0.29600000000000004,0.0,1.0940718699931336
0.06,37.75696,47.50448,0.2368,0.0,1.0940718699931336
0.08,37.99184,47.44576,0.29600000000000004,0.0,1.2130922407873654
0.1,37.99184,47.38704,0.1776,0.0,1.0940718699931336
0.12,37.75696,47.38704,0.1776,0.0,1.0940718699931336
0.14,37.99184,47.44576,0.29600000000000004,0.0,1.0940718699931336
0.16,37.75696,47.38704,0.2368,0.0,1.0940718699931336
0.18,37.99184,47.38704,0.1776,0.0,1.0940718699931336
0.2,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
0.22,37.93312,47.32832,0.2368,0.0,1.0940718699931336
0.24,37.75696,47.32832,0.2368,0.0,1.0940718699931336
0.26,37.99184,47.38704,0.2368,0.0,1.0940718699931336
0.28,37.93312,47.32832,0.29600000000000004,0.0,1.2130922407873654
0.3,37.75696,47.32832,0.29600000000000004,0.0,0.9750514991989013
0.32,37.93312,47.32832,0.2368,0.0,1.0940718699931336
0.34,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
0.36,37.99184,47.269600000000004,0.2368,0.0,0.9750514991989013
0.38,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
0.4,37.99184,47.32832,0.29600000000000004,0.0,1.0940718699931336
0.42,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
0.44,37.93312,47.32832,0.2368,0.0,1.0940718699931336
0.46,37.93312,47.269600000000004,0.2368,0.0,0.9750514991989013
0.48,37.99184,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
0.5,37.93312,47.21088,0.29600000000000004,0.0,1.0940718699931336
0.52,37.75696,47.269600000000004,0.2368,0.0,0.9750514991989013
0.54,37.93312,47.269600000000004,0.1776,0.0,0.9750514991989013
0.56,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
0.58,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
0.6,37.99184,47.269600000000004,0.2368,0.0,1.0940718699931336
0.62,37.93312,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
0.64,37.75696,47.21088,0.29600000000000004,0.0,1.0940718699931336
0.66,37.75696,47.21088,0.2368,0.0,1.0940718699931336
0.68,37.93312,47.15216,0.2368,0.0,1.2130922407873654
0.7,37.99184,47.21088,0.29600000000000004,0.0,0.9750514991989013
0.72,37.75696,47.21088,0.2368,0.0,0.9750514991989013
0.74,37.75696,47.21088,0.2368,0.0,1.0940718699931336
0.76,37.75696,47.269600000000004,0.29600000000000004,0.0,0.9750514991989013
0.78,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
0.8,37.75696,47.21088,0.2368,0.0,1.0940718699931336
0.82,37.75696,47.269600000000004,0.1776,0.0,1.0940718699931336
0.84,37.75696,47.269600000000004,0.1776,0.0,0.9750514991989013
0.86,37.93312,47.269600000000004,0.29600000000000004,0.0,0.9750514991989013
0.88,37.93312,47.21088,0.2368,0.0,0.9750514991989013
0.9,37.75696,47.21088,0.2368,0.0,0.9750514991989013
0.92,37.75696,47.21088,0.29600000000000004,0.0,1.0940718699931336
0.94,37.93312,47.21088,0.2368,0.0,1.0940718699931336
0.96,37.75696,47.21088,0.2368,0.0,1.0940718699931336
0.98,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.0,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.02,37.99184,47.269600000000004,0.2368,0.0,1.0940718699931336
1.04,37.93312,47.21088,0.29600000000000004,0.0,1.0940718699931336
1.06,37.75696,47.15216,0.2368,0.0,1.0940718699931336
1.08,37.75696,47.21088,0.2368,0.0,1.0940718699931336
1.1,37.93312,47.15216,0.2368,0.0,1.0940718699931336
1.12,37.75696,47.15216,0.2368,0.0,0.9750514991989013
1.14,37.93312,47.21088,0.29600000000000004,0.0,1.0940718699931336
1.16,37.93312,47.21088,0.2368,0.0,1.0940718699931336
1.18,37.93312,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
1.2,37.93312,47.21088,0.2368,0.0,1.0940718699931336
1.22,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.24,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.26,37.93312,47.21088,0.2368,0.0,1.0940718699931336
1.28,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.3,37.93312,47.21088,0.1776,0.0,1.0940718699931336
1.32,37.93312,47.21088,0.2368,0.0,0.9750514991989013
1.34,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.36,37.75696,47.21088,0.2368,0.0,1.0940718699931336
1.38,37.93312,47.21088,0.2368,0.0,0.9750514991989013
1.4,37.99184,47.269600000000004,0.2368,0.0,1.0940718699931336
1.42,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.44,37.75696,47.15216,0.2368,0.0,1.0940718699931336
1.46,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.48,37.93312,47.269600000000004,0.1776,0.0,0.9750514991989013
1.5,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.52,37.93312,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
1.54,37.75696,47.21088,0.2368,0.0,1.0940718699931336
1.56,37.93312,47.269600000000004,0.1776,0.0,1.0940718699931336
1.58,37.93312,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
1.6,37.93312,47.269600000000004,0.2368,0.0,0.9750514991989013
1.62,37.75696,47.269600000000004,0.2368,0.0,0.9750514991989013
1.64,37.75696,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
1.66,37.93312,47.269600000000004,0.1776,0.0,1.0940718699931336
1.68,37.75696,47.269600000000004,0.2368,0.0,0.9750514991989013
1.7,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.72,37.99184,47.269600000000004,0.2368,0.0,1.0940718699931336
1.74,37.93312,47.269600000000004,0.1776,0.0,1.0940718699931336
1.76,37.75696,47.269600000000004,0.1776,0.0,1.0940718699931336
1.78,37.93312,47.269600000000004,0.1776,0.0,1.0940718699931336
1.8,37.75696,47.21088,0.2368,0.0,1.0940718699931336
1.82,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
1.84,37.75696,47.32832,0.2368,0.0,1.0940718699931336
1.86,37.93312,47.269600000000004,0.29600000000000004,0.0,1.0940718699931336
1.88,37.75696,47.32832,0.29600000000000004,0.0,0.9750514991989013
1.9,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.92,37.93312,47.269600000000004,0.2368,0.0,0.9750514991989013
1.94,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.96,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
1.98,37.75696,47.21088,0.29600000000000004,0.0,0.9750514991989013
2.0,37.93312,47.269600000000004,0.29600000000000004,0.0,1.2130922407873654
2.02,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.04,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.06,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.08,37.75696,47.269600000000004,0.2368,0.0,1.2130922407873654
2.1,37.75696,47.32832,0.2368,0.0,0.9750514991989013
2.12,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
2.14,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.16,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.18,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.2,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.22,37.75696,47.32832,0.2368,0.0,0.9750514991989013
2.24,37.75696,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.26,37.93312,47.44576,0.1776,0.0,1.0940718699931336
2.28,37.75696,47.269600000000004,0.1776,0.0,0.9750514991989013
2.3,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.32,37.93312,47.269600000000004,0.2368,0.0,1.0940718699931336
2.34,37.75696,47.32832,0.2368,0.0,0.9750514991989013
2.36,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.38,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.4,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.42,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.44,37.75696,47.269600000000004,0.2368,0.0,1.0940718699931336
2.46,37.93312,47.32832,0.2368,0.0,0.9750514991989013
2.48,37.93312,47.38704,0.2368,0.0,0.9750514991989013
2.5,37.93312,47.32832,0.2368,0.0,0.9750514991989013
2.52,37.75696,47.32832,0.2368,0.0,1.2130922407873654
2.54,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.56,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.58,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.6,37.75696,47.32832,0.1776,0.0,1.0940718699931336
2.62,37.75696,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.64,37.75696,47.32832,0.2368,0.0,1.2130922407873654
2.66,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.68,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.7,37.93312,47.38704,0.2368,0.0,1.0940718699931336
2.72,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.74,37.75696,47.38704,0.2368,0.0,1.0940718699931336
2.76,37.75696,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.78,37.93312,47.32832,0.29600000000000004,0.0,1.0940718699931336
2.8,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.82,37.75696,47.38704,0.2368,0.0,1.0940718699931336
2.84,37.75696,47.32832,0.29600000000000004,0.0,0.9750514991989013
2.86,37.75696,47.38704,0.2368,0.0,1.2130922407873654
2.88,37.75696,47.32832,0.2368,0.0,1.0940718699931336
2.9,37.93312,47.38704,0.1776,0.0,0.9750514991989013
2.92,37.75696,47.38704,0.2368,0.0,1.0940718699931336
2.94,37.75696,47.38704,0.2368,0.0,1.0940718699931336
2.96,37.93312,47.38704,0.2368,0.0,1.0940718699931336
2.98,37.75696,47.32832,0.2368,0.0,1.0940718699931336
3.0,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
3.02,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
3.04,37.93312,47.38704,0.2368,0.0,0.9750514991989013
3.06,37.75696,47.38704,0.2368,0.0,0.9750514991989013
3.08,37.75696,47.38704,0.1776,0.0,1.2130922407873654
3.1,37.75696,47.32832,0.2368,0.0,1.2130922407873654
3.12,37.75696,47.44576,0.2368,0.0,0.9750514991989013
3.14,37.75696,47.38704,0.2368,0.0,0.9750514991989013
3.16,37.75696,47.38704,0.2368,0.0,1.2130922407873654
3.18,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.2,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.22,37.75696,47.32832,0.2368,0.0,0.9750514991989013
3.24,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.26,37.93312,47.38704,0.29600000000000004,0.0,1.2130922407873654
3.28,37.75696,47.44576,0.2368,0.0,0.9750514991989013
3.3,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.32,37.75696,47.44576,0.2368,0.0,1.0940718699931336
3.34,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.36,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
3.38,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.4,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.42,37.75696,47.38704,0.2368,0.0,1.2130922407873654
3.44,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
3.46,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.48,37.75696,47.44576,0.1776,0.0,0.9750514991989013
3.5,37.75696,47.44576,0.1776,0.0,1.0940718699931336
3.52,37.75696,47.38704,0.29600000000000004,0.0,1.0940718699931336
3.54,37.75696,47.38704,0.2368,0.0,1.2130922407873654
3.56,37.75696,47.44576,0.2368,0.0,1.0940718699931336
3.58,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.6,37.75696,47.44576,0.29600000000000004,0.0,1.0940718699931336
3.62,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.64,37.75696,47.38704,0.2368,0.0,1.2130922407873654
3.66,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.68,37.93312,47.38704,0.29600000000000004,0.0,1.2130922407873654
3.7,37.75696,47.44576,0.2368,0.0,1.2130922407873654
3.72,37.75696,47.38704,0.2368,0.0,0.9750514991989013
3.74,37.75696,47.44576,0.2368,0.0,1.0940718699931336
3.76,37.75696,47.50448,0.29600000000000004,0.0,1.0940718699931336
3.78,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.8,37.75696,47.44576,0.2368,0.0,1.0940718699931336
3.82,37.75696,47.38704,0.2368,0.0,1.2130922407873654
3.84,37.75696,47.44576,0.29600000000000004,0.0,1.0940718699931336
3.86,37.93312,47.44576,0.29600000000000004,0.0,1.0940718699931336
3.88,37.75696,47.44576,0.29600000000000004,0.0,1.2130922407873654
3.9,37.75696,47.38704,0.2368,0.0,1.0940718699931336
3.92,37.75696,47.38704,0.2368,0.0,0.9750514991989013
3.94,37.75696,47.44576,0.2368,0.0,1.0940718699931336
3.96,37.75696,47.44576,0.29600000000000004,0.0,1.0940718699931336
3.98,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.0,37.75696,47.50448,0.29600000000000004,0.0,1.0940718699931336
4.02,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.04,37.75696,47.44576,0.29600000000000004,0.0,1.0940718699931336
4.06,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.08,37.93312,47.44576,0.29600000000000004,0.0,0.9750514991989013
4.1,37.75696,47.38704,0.2368,0.0,0.9750514991989013
4.12,37.75696,47.38704,0.2368,0.0,1.0940718699931336
4.14,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.16,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.18,37.75696,47.44576,0.2368,0.0,1.2130922407873654
4.2,37.75696,47.44576,0.2368,0.0,1.0940718699931336
4.22,37.75696,47.44576,0.29600000000000004,0.0,1.0940718699931336
4.24,37.93312,47.44576,0.29600000000000004,0.0,1.0940718699931336
4.26,37.93312,47.38704,0.1776,0.0,1.0940718699931336
4.28,37.75696,47.44576,0.2368,0.0,0.9750514991989013
4.3,37.75696,47.50448,0.2368,0.0,1.0940718699931336
4.32,37.75696,47.5632,0.2368,0.0,1.0940718699931336
4.34,37.75696,47.50448,0.2368,0.0,1.0940718699931336
4.36,37.75696,47.50448,0.2368,0.0,1.0940718699931336
4.38,37.75696,47.50448,0.29600000000000004,0.0,0.9750514991989013
4.4,37.75696,47.50448,0.2368,0.0,1.0940718699931336
4.42,37.75696,47.50448,0.29600000000000004,0.0,1.0940718699931336
4.44,37.75696,47.50448,0.29600000000000004,0.0,1.0940718699931336
4.46,37.75696,47.38704,0.2368,0.0,0.9750514991989013
4.48,37.75696,47.5632,0.29600000000000004,0.0,1.0940718699931336
4.5,37.75696,47.50448,0.2368,0.0,1.0940718699931336
4.52,37.75696,47.5632,0.2368,0.0,1.0940718699931336
4.54,37.75696,47.50448,0.29600000000000004,0.0,1.0940718699931336
4.56,37.75696,47.5632,0.1776,0.0,1.0940718699931336
4.58,37.75696,47.5632,0.2368,0.0,1.0940718699931336
4.6,37.75696,47.680640000000004,0.2368,0.0,1.0940718699931336
4.62,37.75696,47.680640000000004,0.2368,0.0,1.0940718699931336
4.64,37.75696,47.73936,0.2368,0.0,0.9750514991989013
4.66,37.75696,47.73936,0.2368,0.0,1.0940718699931336
4.68,37.75696,47.73936,0.2368,0.0,0.9750514991989013
4.7,37.75696,47.79808,0.2368,0.0,1.0940718699931336
4.72,37.75696,47.79808,0.2368,0.0,1.0940718699931336
4.74,37.75696,47.8568,0.2368,0.0,1.0940718699931336
4.76,37.75696,47.8568,0.2368,0.0,1.0940718699931336
4.78,37.75696,47.8568,0.1776,0.0,1.0940718699931336
4.8,37.75696,47.8568,0.29600000000000004,0.0,1.0940718699931336
4.82,37.75696,47.91552,0.2368,0.0,1.0940718699931336
4.84,37.75696,47.91552,0.29600000000000004,0.0,1.2130922407873654
4.86,37.75696,47.8568,0.29600000000000004,0.0,1.2130922407873654
4.88,37.75696,47.97424,0.2368,0.0,1.0940718699931336
4.9,37.75696,47.91552,0.2368,0.0,1.0940718699931336
4.92,37.75696,47.91552,0.29600000000000004,0.0,1.2130922407873654
4.94,37.75696,47.97424,0.2368,0.0,1.2130922407873654
4.96,37.75696,48.091680000000004,0.29600000000000004,0.0,1.2130922407873654
4.98,37.75696,48.091680000000004,0.2368,0.0,1.0940718699931336
5.0,37.75696,48.091680000000004,0.2368,0.0,1.0940718699931336
5.02,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.04,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.06,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.08,37.75696,48.20912,0.2368,0.0,0.9750514991989013
5.1,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.12,37.75696,48.20912,0.2368,0.0,1.3321126115815975
